ID_ANONIMIZADO;LATITUD;LONGITUD;DISTRITO;REGION
23223;-29,930437;-71,2416664;Coquimbo;IV
23236;-29,9513777;-71,2642755;Coquimbo;IV
23238;-29,9536569;-71,2688193;Coquimbo;IV
23274;-29,9857787;-71,3434283;Coquimbo;IV
23286;-29,94843305;-71,28257925;Coquimbo;IV
23309;-29,9541;-71,33815;Coquimbo;IV
23334;-29,95630708;-71,3405283;Coquimbo;IV
23352;-29,96205683;-71,29331949;Coquimbo;IV
23419;-29,9607764;-71,253228;Coquimbo;IV
23478;-30,22027;-71,36343;Coquimbo;IV
23492;-29,9187752;-71,2555828;Coquimbo;IV
23522;-30,25806823;-71,49407756;Coquimbo;IV
23591;-29,98483937;-71,36164626;Coquimbo;IV
23690;-29,92202;-71,21269003;Coquimbo;IV
23704;-29,92377001;-71,21336997;Coquimbo;IV
23711;-29,9162133;-71,2561179;Coquimbo;IV
23717;-29,9074855;-71,2417034;Coquimbo;IV
23761;-29,98889;-71,35;Coquimbo;IV
23798;-29,94855922;-71,28190844;Coquimbo;IV
23799;-29,98483937;-71,36164626;Coquimbo;IV
23856;-29,88228001;-71,24588999;Coquimbo;IV
23879;-29,98738885;-71,33672657;Coquimbo;IV
23936;-29,9450301;-71,2583326;Coquimbo;IV
23956;-29,8786406;-71,2501949;Coquimbo;IV
23991;-29,98316068;-71,34769644;Coquimbo;IV
24017;-29,9794997;-71,2563935;Coquimbo;IV
24021;-29,9620636;-71,2561892;Coquimbo;IV
24028;-29,9874784;-71,3453344;Coquimbo;IV
24076;31,43497;-91,86326;Coquimbo;IV
24109;-29,9598414;-71,2947996;Coquimbo;IV
24126;-29,99197925;-71,32249814;Coquimbo;IV
24149;-29,93506002;-71,24920998;Coquimbo;IV
24155;-30,45;-70,86667;Coquimbo;IV
24212;-29,96659803;-71,25903563;Coquimbo;IV
24213;-29,90594357;-71,25774648;Coquimbo;IV
24236;-31,03333;-71,05;Coquimbo;IV
24241;-29,9845693;-71,3339287;Coquimbo;IV
24263;-29,95774463;-71,27158558;Coquimbo;IV
24279;-29,90702661;-71,24940006;Coquimbo;IV
24299;-29,97699806;-71,33254618;Coquimbo;IV
24303;-29,93016764;-71,25522523;Coquimbo;IV
24443;-29,9854454;-71,3377016;Coquimbo;IV
24459;-29,9420683;-71,1227408;Coquimbo;IV
24463;31,43497;-91,86326;Coquimbo;IV
24560;31,43497;-91,86326;Coquimbo;IV
24563;-29,9459262;-71,244481;Coquimbo;IV
24565;-31,17969388;-71,00094071;Coquimbo;IV
24567;-29,96203521;-71,30122431;Coquimbo;IV
24578;-29,9166676;-71,214733;Coquimbo;IV
24584;-29,8830866;-71,2380684;Coquimbo;IV
24599;-29,92694001;-71,25094001;Coquimbo;IV
24610;-29,9314132;-71,2418412;Coquimbo;IV
24813;-29,99041518;-71,34042289;Coquimbo;IV
24821;31,43497;-91,86326;Coquimbo;IV
24839;-29,9188442;-71,2556056;Coquimbo;IV
24840;-29,9723978;-71,3232267;Coquimbo;IV
24971;-29,91228999;-71,25104998;Coquimbo;IV
25103;-29,9859101;-71,3416897;Coquimbo;IV
25143;-29,982082;-71,3382392;Coquimbo;IV
25287;-29,97904766;-71,3409564;Coquimbo;IV
25294;-29,9842575;-71,3421193;Coquimbo;IV
25331;-29,9573304;-71,24934832;Coquimbo;IV
25492;-29,88384001;-71,25060004;Coquimbo;IV
25516;-29,98577214;-71,34101365;Coquimbo;IV
25523;-33,0589201;-60,6182238;Coquimbo;IV
25525;-29,88190999;-71,24063999;Coquimbo;IV
25551;-29,943754;-71,2662618;Coquimbo;IV
25572;-29,963623;-71,3016692;Coquimbo;IV
25582;-29,91781999;-71,25189999;Coquimbo;IV
25591;-29,96498206;-71,3033208;Coquimbo;IV
25685;-29,88761244;-71,22175411;Coquimbo;IV
25836;-30,19463788;-71,43092693;Coquimbo;IV
25841;31,43497;-91,86326;Coquimbo;IV
25877;-29,9121593;-71,2537919;Coquimbo;IV
25888;-29,900736;-71,2458658;Coquimbo;IV
26054;-29,9301752;-71,2459111;Coquimbo;IV
26078;-29,9301752;-71,2459111;Coquimbo;IV
26082;-29,9242037;-71,2539447;Coquimbo;IV
26084;-29,9242037;-71,2539447;Coquimbo;IV
26377;31,43497;-91,86326;Coquimbo;IV
26429;-29,94197002;-71,26574999;Coquimbo;IV
26463;-33,0427823;-71,566998;Coquimbo;IV
26509;-29,9034837;-71,254807;Coquimbo;IV
26533;-29,94820995;-71,2506849;Coquimbo;IV
26565;-29,9903733;-71,341576;Coquimbo;IV
26570;-29,9903733;-71,341576;Coquimbo;IV
26711;-29,93321001;-71,26288003;Coquimbo;IV
26842;-29,94310497;-71,24168991;Coquimbo;IV
26844;-29,9853024;-71,3585564;Coquimbo;IV
26845;-29,9301752;-71,2459111;Coquimbo;IV
27066;-29,93442002;-71,26272999;Coquimbo;IV
27109;-29,93321998;-71,25452998;Coquimbo;IV
27177;-29,9232429;-71,2109433;Coquimbo;IV
27181;-29,94356194;-71,33768322;Coquimbo;IV
27186;-29,92605999;-71,24329999;Coquimbo;IV
27194;-29,9579344;-71,2529519;Coquimbo;IV
27208;31,43497;-91,86326;Coquimbo;IV
27390;-29,94096;-71,26473;Coquimbo;IV
27472;-29,87962001;-71,23617998;Coquimbo;IV
27511;-29,9114457;-71,2487682;Coquimbo;IV
27517;-29,9114457;-71,2487682;Coquimbo;IV
27631;-36,944222;-73,020485;Coquimbo;IV
27640;-29,97944202;-71,33112099;Coquimbo;IV
27727;-32,78333;-70,71667;Coquimbo;IV
27782;-29,9217845;-71,2355557;Coquimbo;IV
27908;-29,9650257;-71,2658782;Coquimbo;IV
28061;-29,97457898;-71,06040074;Coquimbo;IV
28085;-29,9800876;-71,3312884;Coquimbo;IV
28094;-30,1948575;-71,4063689;Coquimbo;IV
28140;-29,91072002;-71,24900002;Coquimbo;IV
28177;-29,91732001;-71,21267997;Coquimbo;IV
28256;-29,9845199;-71,33763751;Coquimbo;IV
28312;-18,4839908;-70,2928786;Coquimbo;IV
28318;-29,9476481;-71,2735413;Coquimbo;IV
28525;-29,92354001;-71,24185998;Coquimbo;IV
28706;-29,90239;-71,25124;Coquimbo;IV
28743;-29,9602073;-71,2536504;Coquimbo;IV
28747;-29,8739566;-71,2335955;Coquimbo;IV
28767;-29,94133591;-71,24148393;Coquimbo;IV
28890;-29,93393999;-71,26237996;Coquimbo;IV
29117;-29,91899969;-71,24521265;Coquimbo;IV
29177;-29,9233972;-71,2541369;Coquimbo;IV
29247;-29,9437587;-71,2661421;Coquimbo;IV
29284;-29,9558806;-71,2609878;Coquimbo;IV
29637;-29,9200211;-71,2504943;Coquimbo;IV
29700;-29,9728975;-71,2491255;Coquimbo;IV
29726;-29,93035999;-71,25235999;Coquimbo;IV
29776;-29,97425267;-71,33497529;Coquimbo;IV
29809;-29,888616;-71,2183767;Coquimbo;IV
30061;-29,96261081;-71,30241409;Coquimbo;IV
30066;-29,9804666;-71,3418237;Coquimbo;IV
30067;-29,98020455;-71,341409;Coquimbo;IV
30081;-29,9538002;-71,2860591;Coquimbo;IV
30181;-29,9278212;-71,2424052;Coquimbo;IV
30234;-29,8886895;-71,1402203;Coquimbo;IV
30288;-29,95872768;-71,25124283;Coquimbo;IV
30302;31,43497;-91,86326;Coquimbo;IV
30612;-29,95564033;-71,351882;Coquimbo;IV
30646;-29,9558806;-71,2609878;Coquimbo;IV
30648;-29,96322716;-71,2505936;Coquimbo;IV
30677;-29,95381905;-71,26616945;Coquimbo;IV
30805;-26,2463237;-69,6298589;Coquimbo;IV
30922;-29,9280228;-71,2473125;Coquimbo;IV
31056;27,87744;-81,83498;Coquimbo;IV
31065;-29,92233;-71,21517996;Coquimbo;IV
31071;-29,9875252;-71,3471991;Coquimbo;IV
